Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
21,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,25,1997,20,18,1617,18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
22,Elijah Adebayo,eng,FW,,Luton Town,Premier League,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0.00,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42
23,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2.0,5.5,52,26,96,0.30,0.10,0.39,0.30,0.39,0.34,0.20,0.54,0.34,0.54
24,Simon Adingra,ci,FW,,Brighton,Premier League,21,2002,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32
25,Nathaniel Adjei,gh,DF,,Lorient,Ligue 1,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
26,Amine Adli,ma,MF,FW,Leverkusen,Bundesliga,23,2000,23,8,898,10.0,4,6,10,4,0,0,5,0,3.3,3.3,2.3,5.6,32,39,131,0.40,0.60,1.00,0.40,1.00,0.33,0.23,0.56,0.33,0.56
27,Yacine Adli,fr,MF,,Milan,Serie A,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16
28,Adryelson,br,DF,FW,Lyon,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Adson,br,MF,FW,Nantes,Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13
30,Michel Aebischer,ch,MF,,Bologna,Serie A,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11
31,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13
32,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Lucien Agoume,fr,MF,,Inter,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Lucien Agoume,fr,MF,,Sevilla,La Liga,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17
35,Felix Agu,de,DF,MF,Werder Bremen,Bundesliga,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,32,32,90,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,27,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
37,Ruben Aguilar,fr,DF,,Lens,Ligue 1,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,1.4,1.4,2.9,4.3,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.20,0.07,0.20
38,Brandon Aguilera,cr,FW,,Nott'ham Forest,Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13
40,Anel Ahmedhodžić,ba,DF,,Sheffield Utd,Premier League,24,1999,31,29,2649,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,15,43,21,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14
41,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
42,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06
43,Rayan Aït-Nouri,dz,DF,MF,Wolves,Premier League,22,2001,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22
44,Tosin Aiyegun,bj,MF,FW,Lorient,Ligue 1,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,1.8,1.8,0.3,2.1,17,16,52,0.20,0.00,0.20,0.20,0.20,0.18,0.03,0.21,0.18,0.21
45,Kristoffer Ajer,no,DF,,Brentford,Premier League,25,1998,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.18,0.06,0.18
46,Ludovic Ajorque,fr,FW,,Mainz 05,Bundesliga,29,1994,26,15,1360,15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,5,21,88,0.13,0.00,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31
47,Manuel Akanji,ch,DF,MF,Manchester City,Premier League,28,1995,30,28,2511,27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09
48,Marley Aké,fr,FW,,Udinese,Serie A,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Nathan Aké,nl,DF,,Manchester City,Premier League,28,1995,29,24,2042,22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16
50,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,19,2004,31,17,1511,16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34
51,Sergio Akieme,es,DF,,Almería,La Liga,25,1997,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0.00,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
52,Sergio Akieme,es,DF,,Reims,Ligue 1,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.8,20,20,34,0.22,0.00,0.22,0.22,0.22,0.16,0.04,0.20,0.16,0.20
53,Ebenezer Akinsanmiro,ng,MF,,Inter,Serie A,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23
54,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,21,2002,28,18,1613,17.9,7,4,11,7,0,0,5,0,5.4,5.4,3.5,8.9,46,93,135,0.39,0.22,0.61,0.39,0.61,0.30,0.19,0.49,0.30,0.49
55,Paul Akouokou,ci,MF,,Betis,La Liga,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Paul Akouokou,ci,MF,,Lyon,Ligue 1,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
57,Jean-Daniel Akpa-Akpro,ci,MF,,Monza,Serie A,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08
58,David Akpan Ankeye,ng,FW,,Genoa,Serie A,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,28,1995,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05
60,David Alaba,at,DF,,Real Madrid,La Liga,31,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.00,0.08,0.08,0.00,0.08,0.08,0.05,0.13,0.08,0.13
61,Luis Alberto,es,MF,,Lazio,Serie A,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83,212,124,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37
62,Raúl Albiol,es,DF,,Villarreal,La Liga,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0.00,0.04,0.04,0.00,0.04,0.02,0.04,0.06,0.02,0.06
63,Thiago Alcántara,es,MF,,Liverpool,Premier League,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Carlos Alcaraz,ar,MF,,Juventus,Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0.00,0.24,0.24,0.00,0.24,0.09,0.03,0.12,0.09,0.12
65,Rubén Alcaraz,es,MF,,Cádiz,La Liga,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09
66,Omar Alderete,py,DF,,Getafe,La Liga,26,1996,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,23,98,9,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.09,0.05,0.09
67,Iván Alejo,es,MF,,Cádiz,La Liga,28,1995,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10
68,Carles Aleñá,es,MF,,Getafe,La Liga,25,1998,29,10,1020,11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25
69,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,24,1998,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.30,0.41,0.10,0.40
70,Aboubacar Ali,fr,MF,FW,Strasbourg,Ligue 1,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0.00,0.69,0.69,0.00,0.69,0.17,0.05,0.22,0.17,0.22
71,Mohamed Ali Cho,fr,FW,MF,Real Sociedad,La Liga,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18
72,Mohamed Ali Cho,fr,FW,,Nice,Ligue 1,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2.0,3.1,48,25,77,0.10,0.21,0.31,0.10,0.31,0.12,0.21,0.32,0.12,0.32
73,Faride Alidou,de,FW,MF,Köln,Bundesliga,22,2001,26,14,1282,14.2,4,0,4,4,0,0,4,0,3.0,3.0,0.6,3.6,51,33,95,0.28,0.00,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26
74,Nabil Alioui,fr,MF,FW,Le Havre,Ligue 1,24,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41
75,Alisson,br,GK,,Liverpool,Premier League,30,1992,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Tadeo Allende,ar,MF,FW,Celta Vigo,La Liga,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0.00,0.27,0.27,0.27,0.33,0.10,0.43,0.33,0.43
77,Jim Allevinah,ga,MF,DF,Clermont Foot,Ligue 1,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,2.6,2.6,1.2,3.8,87,52,120,0.10,0.05,0.15,0.10,0.15,0.12,0.06,0.18,0.12,0.18
78,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17
79,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,29,1994,33,23,1937,21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162,0.14,0.05,0.19,0.14,0.19,0.21,0.12,0.33,0.21,0.33
80,Pontus Almqvist,se,FW,MF,Lecce,Serie A,24,1999,30,25,2107,23.4,2,1,3,2,0,0,5,0,2.3,2.3,2.7,5.0,72,32,137,0.09,0.04,0.13,0.09,0.13,0.10,0.12,0.22,0.10,0.22
81,Marcos Alonso,es,DF,,Barcelona,La Liga,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21
82,Adrià Altimira,es,DF,MF,Villarreal,La Liga,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
83,Sergi Altimira,es,MF,,Betis,La Liga,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0.00,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07
84,Edson Álvarez,mx,MF,,West Ham,Premier League,25,1997,31,28,2377,26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07
85,Gastón Álvarez,uy,DF,,Getafe,La Liga,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0.00,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05
86,Hugo Álvarez,es,MF,DF,Celta Vigo,La Liga,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,1.0,1.0,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.30,0.12,0.30
87,Julián Álvarez,ar,MF,FW,Manchester City,Premier League,23,2000,36,31,2647,29.4,11,8,19,9,2,2,2,0,13.0,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61
88,Yeray Álvarez,es,DF,,Athletic Club,La Liga,28,1995,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,13,55,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
89,Skelly Alvero,fr,MF,,Lyon,Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13,0.21,0.00,0.21,0.21,0.21,0.09,0.00,0.09,0.09,0.09
90,Skelly Alvero,fr,MF,,Werder Bremen,Bundesliga,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.00,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
91,Papa Amadou Diallo,sn,FW,,Metz,Ligue 1,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,2.6,2.6,0.9,3.5,25,30,65,0.20,0.10,0.30,0.20,0.30,0.26,0.09,0.35,0.26,0.35
92,Selim Amallah,ma,FW,MF,Valencia,La Liga,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,36,0.00,0.15,0.15,0.00,0.15,0.06,0.05,0.11,0.06,0.11
93,Amath,sn,FW,MF,Mallorca,La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0.00,0.00,0.00,0.00,0.00,0.35,0.09,0.44,0.35,0.44
94,Lorenzo Amatucci,it,MF,,Fiorentina,Serie A,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
95,Jordan Amavi,fr,DF,,Brest,Ligue 1,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,2,1,0.99,0.00,0.99,0.99,0.99,0.10,0.00,0.10,0.10,0.10
96,Zeki Amdouni,ch,FW,,Burnley,Premier League,22,2000,34,27,1953,21.7,5,1,6,4,1,1,2,0,5.8,5.0,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.30
97,Kelvin Amian,fr,DF,,Nantes,Ligue 1,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.6,12,28,21,0.00,0.11,0.11,0.00,0.11,0.01,0.07,0.07,0.01,0.07
98,Bruno Amione,ar,DF,,Hellas Verona,Serie A,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05
99,Michael Amir Murillo,pa,DF,,Marseille,Ligue 1,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.8,0.8,1.2,2.0,6,35,52,0.27,0.18,0.45,0.27,0.45,0.07,0.11,0.18,0.07,0.18
100,Nadiem Amiri,de,MF,,Mainz 05,Bundesliga,26,1996,15,15,1315,14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.30,0.45,0.10,0.39
101,Nadiem Amiri,de,MF,,Leverkusen,Bundesliga,26,1996,8,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,5,6,6,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16
102,Kofi Amoako,de,MF,,Wolfsburg,Bundesliga,18,2005,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Sofyan Amrabat,ma,MF,DF,Manchester Utd,Premier League,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
104,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
105,Elliot Anderson,eng,MF,FW,Newcastle Utd,Premier League,20,2002,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70,0.00,0.18,0.18,0.00,0.18,0.13,0.17,0.30,0.13,0.30
106,Felipe Anderson,br,FW,MF,Lazio,Serie A,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108,126,226,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35
107,Benjamin André,fr,MF,,Lille,Ligue 1,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,2.6,2.6,1.3,3.9,19,180,37,0.14,0.00,0.14,0.14,0.14,0.09,0.05,0.14,0.09,0.14
108,Komnen Andrić,rs,FW,,Clermont Foot,Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,24,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.12,0.03,0.12
109,Robert Andrich,de,MF,DF,Leverkusen,Bundesliga,28,1994,28,18,1690,18.8,4,2,6,4,0,0,4,0,1.7,1.7,1.8,3.5,20,97,14,0.21,0.11,0.32,0.21,0.32,0.09,0.10,0.19,0.09,0.19
110,Miguel Ángel Rubio,es,DF,,Granada,La Liga,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7,27,1,0.06,0.00,0.06,0.06,0.06,0.05,0.00,0.05,0.05,0.05
